trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.95}",20,0,-27.429042246446212,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.8999999999999999}",30,0,-175.40072437268012,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.8499999999999999}",20,0,-121.58558222291691,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.7999999999999998}",20,0,-76.01730102527416,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.7499999999999998}",20,0,-66.49572268224433,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.6999999999999997}",20,0,-82.39514979292949,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.6499999999999997}",20,0,-90.04366715733136,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.5999999999999996}",20,0,-77.50069180115466,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.5499999999999996}",25,0,-6.462813170273487,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.4999999999999996}",20,0,-73.76991126298644,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.4499999999999996}",25,5,-61.597051418519435,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.8, 'e': 0.39999999999999963}",20,3,-62.224875539721175,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.8, 'e': 0.34999999999999964}",25,0,-57.5859698030499,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.29999999999999966}",20,7,21.998146146733486,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.24999999999999967}",25,0,-99.49056010415298,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.19999999999999968}",20,0,5.063101073448173,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.1499999999999997}",30,0,21.6415161888434,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.09999999999999969}",25,0,-53.24682546359685,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.049999999999999684}",25,20,8.524479582430672,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': -3.191891195797325e-16}",20,9,-22.120967030588034,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,8,14.93253013591768,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,2,-35.37196159884191,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,34.71993485711724,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-9.819147602518886,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,18,9.227488562727808,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,3,-11.921803430512107,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,-43.12912077014398,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,3,-37.81448034548443,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,14,15.320398197661813,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,7,25.58194137737192,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
