trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-195.03378837132627,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.8, 'e': 0.25}",20,0,-139.63157104388023,"{0: 11, 1: 1, 2: 3, 3: 4, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.1111111111111111}",20,6,-90.54078530286812,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 2}",1
4,False,"{'a': 0.8, 'e': 0.0625}",20,11,6.507966613374446,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.8, 'e': 0.04}",30,11,-31.776982378891844,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.027777777777777776}",20,0,3.368281977040982,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.02040816326530612}",20,2,10.761072659819444,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.015625}",30,13,-41.16855353191505,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.8, 'e': 0.012345679012345678}",20,13,10.565427283162611,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.01}",20,0,-29.80855917108018,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.008264462809917356}",20,12,-10.954030392551186,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.006944444444444444}",25,16,9.05431997043263,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.005917159763313609}",25,14,-11.344232127048382,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.00510204081632653}",20,0,-30.200561653184113,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.0044444444444444444}",20,9,-36.67662080275009,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.8, 'e': 0.00390625}",25,0,31.4282031572723,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.0034602076124567475}",20,2,6.66567680629253,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.0030864197530864196}",20,0,-58.75085896996531,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.002770083102493075}",20,11,-5.139992795818661,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.0025}",25,16,-10.977255844270287,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.0022675736961451248}",20,3,7.728348271619744,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.8, 'e': 0.002066115702479339}",30,16,15.53883456520193,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.001890359168241966}",20,6,24.76663122989494,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.001736111111111111}",20,0,2.874003639498273,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.0016}",20,10,18.629085758908936,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.0014792899408284023}",20,9,20.74632149578534,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.0013717421124828531}",25,13,9.277205954745925,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.8, 'e': 0.0012755102040816326}",20,0,-8.286723607268105,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.0011890606420927466}",25,14,-25.863492963430698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.8, 'e': 0.0011111111111111111}",35,12,-8.27889449684459,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.8, 'e': 0.001040582726326743}",30,12,30.97837228407099,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.8, 'e': 0.0009765625}",30,6,38.07409983926764,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.0009182736455463728}",20,2,1.2981734728247787,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.8, 'e': 0.0008650519031141869}",30,0,2.0769441320897175,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.8, 'e': 0.0008163265306122449}",25,0,24.51441444553532,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.8, 'e': 0.0007716049382716049}",20,0,7.197037614316076,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.8, 'e': 0.0007304601899196494}",35,13,37.07636608277916,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.8, 'e': 0.0006925207756232687}",25,6,-13.240211446035445,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.8, 'e': 0.0006574621959237344}",25,13,25.145142900296822,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.000625}",25,14,24.061655950505614,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.8, 'e': 0.000594883997620464}",25,13,20.576570167710173,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.0005668934240362812}",25,11,21.388752507442813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.0005408328826392645}",30,11,31.783453856556573,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.0005165289256198347}",30,18,18.243772080982875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.0004938271604938272}",20,12,15.346712226078878,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.0004725897920604915}",25,9,26.11176161459645,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.0004526935264825713}",30,22,13.633137414711712,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.00043402777777777775}",25,14,17.770693841632276,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.00041649312786339027}",20,0,29.206911804558796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.0004}",20,8,17.16249188824882,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.00038446751249519417}",25,14,19.23147542417378,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.0003698224852071006}",25,3,-8.216594589095926,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.8, 'e': 0.000355998576005696}",30,20,17.902686339750247,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.0003429355281207133}",30,24,8.694879276180195,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.00033057851239669424}",20,9,18.474314100457065,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.8, 'e': 0.00031887755102040814}",25,0,25.05386321025595,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.8, 'e': 0.0003077870113881194}",20,10,15.415420949337097,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.00029726516052318666}",20,15,8.597109263156813,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.0002872737719046251}",20,7,20.750509420213437,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.0002777777777777778}",20,6,24.06543962060307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.8, 'e': 0.0002687449610319806}",20,5,19.31367075249741,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.00026014568158168577}",20,14,11.892619621564426,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.0002519526329050139}",30,0,37.54392348609387,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.000244140625}",25,9,18.058440987753173,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.00023668639053254438}",30,15,23.871042980289484,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.0002295684113865932}",30,20,12.571237193260524,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.00022276676319893073}",30,17,-22.73720734573978,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.8, 'e': 0.00021626297577854672}",30,15,24.485133500459987,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.00021003990758244065}",20,10,13.299232679268757,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.00020408163265306123}",25,15,18.613291713320397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.00019837333862328903}",20,4,24.355818933338732,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.00019290123456790122}",25,14,18.351828428178212,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.00018765246762994934}",30,19,20.690965024099686,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.00018261504747991235}",20,5,-4.088029349808418,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.00017777777777777779}",25,16,13.996993379570121,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.00017313019390581717}",30,17,23.981383830936966,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.00016866250632484398}",20,12,13.179560029209302,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.0001643655489809336}",25,8,32.69027908737537,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.0001602307322544464}",30,19,21.030368189580635,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.00015625}",35,20,25.52538691850456,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.00015241579027587258}",20,10,18.20373169954338,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.8, 'e': 0.000148720999405116}",20,13,13.033718716732288,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.8, 'e': 0.00014515894904920887}",20,0,28.496581806733968,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.0001417233560090703}",20,5,27.066129514830575,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.0001384083044982699}",30,18,-0.7804967575746429,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.00013520822065981613}",20,9,21.568258126899572,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.0001321178491214163}",30,0,43.63804280251839,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.8, 'e': 0.00012913223140495868}",30,12,27.310237359925896,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.00012624668602449185}",20,9,23.093284203836838,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.0001234567901234568}",25,13,18.92066720846536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.8, 'e': 0.00012075836251660427}",20,11,17.89519882264216,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.00011814744801512288}",20,6,20.528265925299888,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.8, 'e': 0.00011562030292519366}",20,7,1.541575689031751,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.00011317338162064282}",20,12,12.985364520145465,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.8, 'e': 0.00011080332409972299}",25,16,16.00342228817485,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.8, 'e': 0.00010850694444444444}",20,14,13.169734714543658,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.00010628122010840685}",35,21,25.38437641961532,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.8, 'e': 0.00010412328196584757}",20,2,-15.602009154749938,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.8, 'e': 0.00010203040506070809}",25,3,30.84547560587358,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
