trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-56.85439476451926,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-88.8148617236294,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-105.47865229994444,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-109.1050863153747,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-106.00293165609979,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,6,-51.02133499515667,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-159.7597702238354,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-109.0238940925772,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-92.32972921801759,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-164.68776970800053,"{0: 10, 1: 2, 2: 2, 3: 5, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-178.27814807303105,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-176.887372569426,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-178.89264692447657,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-114.36601465160656,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-107.03020600227147,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-93.82148527545205,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-131.14989985756486,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,3,-73.1021526648837,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-108.56377336465884,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-113.11778290896599,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-180.65206456298856,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",30,0,-157.3605713006017,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,4,-64.4288956290637,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,0,-125.49536642797501,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-78.93719325833305,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,4,-46.248211731021904,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-153.44852672266902,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-147.92497811577263,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-156.82370304790462,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-85.56896706903183,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
